State,Plant Name,Year,Month,Generator Primary Technology,Net Generation from Steam Turbines (MWh),Fuel Consumption from All Fuel Types (MMBTU),Water Consumption Volume (Million Gallons),Water Withdrawal Intensity Rate (Gallons / MWh),Water Consumption Intensity Rate (Gallons / MWh),Water Withdrawal Rate per Fuel Consumption (Gallons / MMBTU),Water Consumption Rate per Fuel Consumption (Gallons / MMBTU),Cooling Unit Hours in Service,Average Distance of Water Intake Below Water Surface (Feet),Water Type,Water Source,Water Source Name,Water Discharge Name
AL,E C Gaston,2024,1,Conventional Steam Coal,76097.0,979114.0,92.583,4704.0,1217.0,366.0,95.0,146.0,16.0,Fresh,Surface,Coosa River,Coosa River
AL,E C Gaston,2024,2,Conventional Steam Coal,156459.0,1613801.0,206.817,2858.0,1322.0,277.0,128.0,295.0,16.0,Fresh,Surface,Coosa River,Coosa River
AL,E C Gaston,2024,3,Conventional Steam Coal,304496.0,2855670.0,310.784,1747.0,1021.0,186.0,109.0,491.0,16.0,Fresh,Surface,Coosa River,Coosa River
AL,E C Gaston,2024,6,Conventional Steam Coal,410068.0,4134954.0,447.248,1866.0,1091.0,185.0,108.0,684.0,16.0,Fresh,Surface,Coosa River,Coosa River
AL,E C Gaston,2024,7,Conventional Steam Coal,282238.0,2894856.0,287.392,2033.0,1018.0,198.0,99.0,454.0,16.0,Fresh,Surface,Coosa River,Coosa River
AL,E C Gaston,2024,8,Conventional Steam Coal,451463.0,4335085.0,456.265,1664.0,1011.0,173.0,105.0,721.0,16.0,Fresh,Surface,Coosa River,Coosa River
AL,E C Gaston,2024,12,Conventional Steam Coal,202442.0,2218879.0,202.398,1915.0,1000.0,175.0,91.0,320.0,16.0,Fresh,Surface,Coosa River,Coosa River
NE,Platte,2024,1,Conventional Steam Coal,53779.0,602132.0,29.836,873.0,555.0,78.0,50.0,744.0,,Fresh,Ground,Wells,Platte River
NE,Platte,2024,2,Conventional Steam Coal,28038.0,319085.0,17.596,1140.0,628.0,100.0,55.0,520.0,,Fresh,Ground,Wells,Platte River
NE,Platte,2024,3,Conventional Steam Coal,16823.0,186239.0,12.781,1552.0,760.0,140.0,69.0,322.0,,Fresh,Ground,Wells,Platte River
