MapDate,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260414,Alaska,82.59,17.41,0.0,0.0,0.0,0.0,2026-04-14,2026-04-20,2
20260407,Alaska,82.59,17.41,0.0,0.0,0.0,0.0,2026-04-07,2026-04-13,2
20260331,Alaska,82.59,17.41,0.0,0.0,0.0,0.0,2026-03-31,2026-04-06,2
20260324,Alaska,82.59,17.41,0.0,0.0,0.0,0.0,2026-03-24,2026-03-30,2
20260317,Alaska,84.77,15.23,0.0,0.0,0.0,0.0,2026-03-17,2026-03-23,2
20260310,Alaska,84.77,15.23,0.0,0.0,0.0,0.0,2026-03-10,2026-03-16,2
20260303,Alaska,84.77,15.23,0.0,0.0,0.0,0.0,2026-03-03,2026-03-09,2
20260224,Alaska,80.87,19.13,0.0,0.0,0.0,0.0,2026-02-24,2026-03-02,2
20260217,Alaska,79.56,19.72,0.72,0.0,0.0,0.0,2026-02-17,2026-02-23,2
20260210,Alaska,79.56,19.72,0.72,0.0,0.0,0.0,2026-02-10,2026-02-16,2
20260203,Alaska,81.14,18.36,0.5,0.0,0.0,0.0,2026-02-03,2026-02-09,2
20260127,Alaska,86.15,13.85,0.0,0.0,0.0,0.0,2026-01-27,2026-02-02,2
20260120,Alaska,89.95,10.05,0.0,0.0,0.0,0.0,2026-01-20,2026-01-26,2
20260113,Alaska,85.56,14.44,0.0,0.0,0.0,0.0,2026-01-13,2026-01-19,2
20260106,Alaska,90.64,9.36,0.0,0.0,0.0,0.0,2026-01-06,2026-01-12,2
20251230,Alaska,90.64,9.36,0.0,0.0,0.0,0.0,2025-12-30,2026-01-05,2
20251223,Alaska,87.8,12.2,0.0,0.0,0.0,0.0,2025-12-23,2025-12-29,2
20251216,Alaska,94.31,5.69,0.0,0.0,0.0,0.0,2025-12-16,2025-12-22,2
20251209,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-12-09,2025-12-15,2
20251202,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-12-02,2025-12-08,2
20251125,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-11-25,2025-12-01,2
20251118,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-11-18,2025-11-24,2
20251111,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-11-11,2025-11-17,2
20251104,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-11-04,2025-11-10,2
20251028,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-10-28,2025-11-03,2
20251021,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-10-21,2025-10-27,2
20251014,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-10-14,2025-10-20,2
20251007,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-10-07,2025-10-13,2
20250930,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-09-30,2025-10-06,2
20250923,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-09-23,2025-09-29,2
20250916,Alaska,91.14,8.86,0.0,0.0,0.0,0.0,2025-09-16,2025-09-22,2
20250909,Alaska,91.14,8.86,0.0,0.0,0.0,0.0,2025-09-09,2025-09-15,2
20250902,Alaska,89.58,10.42,0.0,0.0,0.0,0.0,2025-09-02,2025-09-08,2
20250826,Alaska,89.66,10.34,0.0,0.0,0.0,0.0,2025-08-26,2025-09-01,2
20250819,Alaska,83.8,16.2,0.0,0.0,0.0,0.0,2025-08-19,2025-08-25,2
20250812,Alaska,82.09,17.91,0.0,0.0,0.0,0.0,2025-08-12,2025-08-18,2
20250805,Alaska,77.86,22.14,0.0,0.0,0.0,0.0,2025-08-05,2025-08-11,2
20250729,Alaska,75.95,24.05,0.0,0.0,0.0,0.0,2025-07-29,2025-08-04,2
20250722,Alaska,75.27,24.73,0.0,0.0,0.0,0.0,2025-07-22,2025-07-28,2
20250715,Alaska,73.59,24.45,1.96,0.0,0.0,0.0,2025-07-15,2025-07-21,2
20250708,Alaska,86.11,12.67,1.22,0.0,0.0,0.0,2025-07-08,2025-07-14,2
20250701,Alaska,86.68,12.47,0.85,0.0,0.0,0.0,2025-07-01,2025-07-07,2
20250624,Alaska,87.97,11.48,0.55,0.0,0.0,0.0,2025-06-24,2025-06-30,2
20250617,Alaska,97.62,2.38,0.0,0.0,0.0,0.0,2025-06-17,2025-06-23,2
20250610,Alaska,99.74,0.26,0.0,0.0,0.0,0.0,2025-06-10,2025-06-16,2
20250603,Alaska,99.74,0.26,0.0,0.0,0.0,0.0,2025-06-03,2025-06-09,2
20250527,Alaska,99.74,0.26,0.0,0.0,0.0,0.0,2025-05-27,2025-06-02,2
20250520,Alaska,99.13,0.87,0.0,0.0,0.0,0.0,2025-05-20,2025-05-26,2
20250513,Alaska,99.13,0.87,0.0,0.0,0.0,0.0,2025-05-13,2025-05-19,2
20250506,Alaska,97.96,2.04,0.0,0.0,0.0,0.0,2025-05-06,2025-05-12,2
20250429,Alaska,97.9,2.1,0.0,0.0,0.0,0.0,2025-04-29,2025-05-05,2
20250422,Alaska,96.76,3.24,0.0,0.0,0.0,0.0,2025-04-22,2025-04-28,2
20250415,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-04-15,2025-04-21,2
20250408,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-04-08,2025-04-14,2
20250401,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-04-01,2025-04-07,2
20250325,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-03-25,2025-03-31,2
20250318,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-03-18,2025-03-24,2
20250311,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-03-11,2025-03-17,2
20250304,Alaska,87.95,12.05,0.0,0.0,0.0,0.0,2025-03-04,2025-03-10,2
20250225,Alaska,90.42,9.58,0.0,0.0,0.0,0.0,2025-02-25,2025-03-03,2
20250218,Alaska,93.66,6.34,0.0,0.0,0.0,0.0,2025-02-18,2025-02-24,2
20250211,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11,2025-02-17,2
20250204,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04,2025-02-10,2
20250128,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28,2025-02-03,2
20250121,Alaska,95.05,4.95,0.0,0.0,0.0,0.0,2025-01-21,2025-01-27,2
20250114,Alaska,95.05,4.95,0.0,0.0,0.0,0.0,2025-01-14,2025-01-20,2
20250107,Alaska,94.17,5.83,0.0,0.0,0.0,0.0,2025-01-07,2025-01-13,2
20241231,Alaska,94.17,5.83,0.0,0.0,0.0,0.0,2024-12-31,2025-01-06,2
20241224,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24,2024-12-30,2
20241217,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17,2024-12-23,2
20241210,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10,2024-12-16,2
20241203,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03,2024-12-09,2
20241126,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26,2024-12-02,2
20241119,Alaska,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19,2024-11-25,2
