Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,NATIONAL,US TOTAL,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"1,075,438",13.9
CENSUS,2023,YEAR,NATIONAL,US TOTAL,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"784,757",13.6
CENSUS,2023,YEAR,NATIONAL,US TOTAL,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,181,694",9.1
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,GUAM,"WATER, IRRIGATION, SOURCE = CANAL OR IRRIGATION DISTRICT - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (20 OR MORE ACRES),3,68.4
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,GUAM,"WATER, IRRIGATION, SOURCE = CANAL OR IRRIGATION DISTRICT - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (LESS THAN 1,200 $)",3,68.4
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,GUAM,"WATER, IRRIGATION, SOURCE = CANAL OR IRRIGATION DISTRICT - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,3,68.4
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = CANAL OR IRRIGATION DISTRICT - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (3.0 TO 9.9 ACRES),2,16.3
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = CANAL OR IRRIGATION DISTRICT - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (LESS THAN 1,200 $)",2,16.3
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = CANAL OR IRRIGATION DISTRICT - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,2,16.3
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (10.0 TO 19.9 ACRES),6,62.0
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (20.0 TO 49.9 ACRES),5,53.2
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (3.0 TO 9.9 ACRES),26,34.5
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (LESS THAN 3.0 ACRES),31,41.4
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (1,200 TO 2,499 $)",18,51.9
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (10,000 OR MORE $)",16,27.7
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (2,500 TO 4,999 $)",4,72.1
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (5,000 TO 7,499 $)",4,72.0
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (LESS THAN 1,200 $)",26,34.1
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,68,32.8
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (10.0 TO 19.9 ACRES),6,62.4
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (20.0 TO 49.9 ACRES),2,15.6
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (3.0 TO 9.9 ACRES),3,85.6
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",AREA OPERATED,AREA OPERATED: (LESS THAN 3.0 ACRES),10,58.5
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (10,000 OR MORE $)",8,56.7
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (5,000 TO 7,499 $)",4,72.8
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",FARM SALES,"FARM SALES: (LESS THAN 1,200 $)",8,56.3
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,21,37.8
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = DEPT OF AGRICULTURE - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,50,31.1
CENSUS,2023,YEAR,PUERTO RICO & OUTLYING AREAS,VIRGIN ISLANDS OF THE US,"WATER, IRRIGATION, SOURCE = LAKE OR POND - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,13,42.1
