Table 1,Scalled energy use by data center type from the Power Control Authorities (PCAs).,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Internal Data Centers,Colocation data center,Hyperscale data center,Total
PCA Name,Scaled power Consumption 2018 (MWh),Scaled Power Consumption 2018 (MWh) ,Scaled Power Consumption 2018 (MWh),Scaled Power Consumption (MWh)
"Alcoa Power Generating, Inc. - Yadkin Division",923.3504172103799,278.2085523270237,283.6134041159297,1485.1723736533331
Anchorage Municipal Light & Power,34519.00841442958,0,0,34519.00841442958
Arizona Public Service Company,29418.727599511727,86543.62160596758,88089.32818365647,204051.67738913576
"Arlington Valley, LLC - AVBA",3173.747193857406,10430.744529037067,10617.09266144861,24221.584384343085
"Associated Electric Cooperative, Inc.",33689.491674296776,6205.711663473685,6316.120266399319,46211.32360416978
Avangrid Renewables LLC,6078.5365843205855,3870.005533862479,3938.743345581929,13887.285463764994
Avista Corporation,43048.579284969994,57726.1984246311,58756.736254810356,159531.51396441145
Balancing Authority of Northern California,120090.04234989673,85243.9309062906,86765.79896444881,292099.77222063614
Bonneville Power Administration,1071364.3917961142,1507733.6017788812,1534657.0080400778,4113755.0016150735
California Independent System Operator,2894826.1127702314,3267938.3505196967,3326294.628847473,9489059.0921374
Chugach Electric Assn Inc,30721.70338834468,0,0,30721.70338834468
City of Homestead,0,0,-0.9951347512839639,-0.9951347512839639
"City of Tacoma, Department of Public Utilities, Light Division",12370.253782524294,19353.141944151877,19698.692401666063,51422.088128342235
City of Tallahassee,6845.399015556925,3201.4745349870936,3259.0663104549817,13305.939860999002
Duke Energy Carolinas,342552.8697642661,219500.31923634274,223419.69328026532,785472.8822808742
Duke Energy Florida Inc,102027.75406689699,47733.528556347774,48585.46396193697,198346.74658518174
Duke Energy Progress East,126368.66749048716,17061.035662293412,17366.09654465645,160795.79969743703
Duke Energy Progress West,4.871364570995624,1.0380916131605362,0.9951347512839639,6.904590935440124
El Paso Electric Company,11939.27001175126,10286.449794807753,10469.812718258585,32695.532524817598
"Electric Energy, Inc.",4331.681996824154,6037.540822141678,6144.957089178477,16514.17990814431
"Electric Reliability Council of Texas, Inc.",873202.4918644407,752409.8393103698,765845.7532406257,2391458.0844154363
Florida Municipal Power Pool,36500.54880285659,17076.60703649082,17382.018700677,70959.17454002441
Florida Power & Light Company,300037.05843482097,140371.78602318087,142878.46218509768,583287.3066430995
Gainesville Regional Utilities,4815.28169930675,2252.6588005583635,2292.7904669582526,9360.730966823367
"Gila River Power, LLC",9776.661302035853,32120.63069441331,32694.15711868335,74591.4491151325
"Gridforce Energy Management, LLC",0,0,0,0
Gridforce South,240.63755078894135,28.02847355533448,28.85890778723495,297.5249321315108
"Griffith Energy, LLC",3102.6191661991743,10190.945366396983,10373.28464738404,23666.8491799802
Hawaiian Electric Co Inc,146754.21097150975,6255.540060905391,6366.872138714801,159376.62317112993
Idaho Power Company,40180.530873161624,19498.47476999435,19846.967479607374,79525.97312276336
Imperial Irrigation District,90519.57878954295,83688.8696697761,85183.5347099073,259391.98316922638
ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314
JEA,25084.48244951182,11736.663778393022,11946.592689163987,48767.738917068826
LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,44089.54832729828,138731.6012743872,141208.62607244318,324029.7756741287
Los Angeles Department of Water and Power,354355.5494702183,250104.2980839285,254570.3963997072,859030.243953854
"Midcontinent Independent Transmission System Operator, Inc..",5164895.846463252,2788402.310736319,2838194.9652292063,10791493.122428777
"NaturEner Power Watch, LLC (GWA)",91.30075641079672,0,0,91.30075641079672
"NaturEner Wind Watch, LLC",111.58258439261398,0,0,111.58258439261398
Nevada Power Company,564461.0645740363,512531.78170768573,521684.46633934876,1598677.3126210708
New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651
"New Harquahala Generating Company, LLC - HGBA",7.127900418982438,18.68564903688965,18.907560274395312,44.7211097302674
"New Smyrna Beach, Utilities Commission of",0,0,0,0
New York Independent System Operator,523625.8560242464,331244.6528433955,337159.61481301725,1192030.123680659
NorthWestern Energy (NWMT),18822.343472405417,2885.8946845862906,2937.6377857902617,24645.87594278197
Ohio Valley Electric Corporation,15055.1555834678,6586.691285503603,6704.2228194000645,28346.069688371466
PacifiCorp - East,424615.29073166905,469238.17098082555,477617.9092829923,1371471.3709954869
PacifiCorp - West,243671.3249084256,250584.93450082184,255060.00269733893,749316.2621065864
"PJM Interconnection, LLC",6962569.41940305,6635041.4404781675,6753524.780382926,20351135.640264146
