Table 5,Characterization factors of the subbasins,Unnamed: 2,Unnamed: 3
,,,
HUC8 ID,Subbasin,Scaled Power Consumption (MWh),Characterization factor
1010001,Upper St. John,887.7325336906181,0.240073692837333
1010002,Allagash,0,0.3347061894256325
1010003,Fish,1242.8255471470345,0.3111713905544553
1010004,Aroostook,1953.0115741590216,0.30920527965277944
1010005,Meduxnekeag,1597.9185607026052,0.2774457113587591
1020001,West Branch Penobscot,579.0194375412972,0.1840669155773984
1020002,East Branch Penobscot,579.0194375412972,0.2852165930008933
1020003,Mattawamkeag,2223.3180365196786,0.2754273980593448
1020004,Piscataquis,1532.3352356755129,0.251691052468721
1020005,Lower Penobscot,9349.097914563401,0.1
1030001,Upper Kennebec,887.7325336906181,0.26886577905736697
1030002,Dead,355.0930134564163,0.25720790442230107
1030003,Lower Kennebec,11923.738618549265,0.15195660911913036
1040001,Upper Androscoggin,1245.5889749251662,0.24310464888919947
1040002,Lower Androscoggin,9242.709035260184,0.14810734393707004
1050001,St. Croix,1597.9185607026052,0.2671182713572531
1050002,Maine Coastal,12907.07006348739,0.1
1050003,St. George-Sheepscot,8385.930498562708,0.1
1060001,Presumpscot,19861.217976191034,0.25096036053445714
1060002,Saco,14487.546869882137,0.22365557253084534
1060003,Piscataqua-Salmon Falls,62240.53586706818,0.25721719656808484
1070001,Pemigewasset,5936.639581238497,0.23225993682762466
1070002,Merrimack,3265.1516970305574,0.2777774750213755
1070003,Contoocook,8398.780903252216,0.25783812989518096
1070004,Nashua,20013.521077588972,0.25329217335352017
1070005,Concord,117015.26061876384,0.23690445322287457
1070006,Merrimack River,109671.87451821472,0.1
1080101,Upper Connecticut,3073.925551503741,0.1781722120371617
1080102,Passumpsic,1992.2035656751661,0.26026150580467333
1080103,Waits,5020.934226320954,0.1
1080104,Upper Connecticut-Mascoma,3808.397207028617,0.1
1080105,White,3154.3224030124725,0.25747919684997206
1080106,Black-Ottauquechee,8235.6676204278,0.1
1080107,West,5528.977896636919,0.24038069510740911
1080201,Middle Connecticut,21702.337902238844,0.1
1080202,Miller,7453.01445161433,0.2745747284635644
1080203,Deerfield,7722.061509436738,0.2055449762467125
1080204,Chicopee,17451.546800000764,0.2594640737101247
1080205,Lower Connecticut,79015.40055302453,0.1
1080206,Westfield,9246.121349849502,0.22332649589113734
1080207,Farmington,24567.802892739328,0.22857345000967672
1090001,Charles,467458.8638528964,0.20963841846858275
