Table 6,Scalled energy use by data centers from theUS States.,Unnamed: 2,Unnamed: 3
,,,
State,Water intensity (m3/MWh),Emission intensity (m3/MWh),Scaled Power Consumption (MWh)
AK,0.8453171126137298,0.45529960918239454,78105.95704791053
AL,5.610877764154437,0.43414794432394377,1258304.2616586252
AR,1.9713350198781041,0.6095719535771044,269573.4831871961
AZ,16.624722327619466,0.48599024006166747,3804335.3129755585
CA,5.17645153047542,0.21032187022421528,7485018.753056657
CO,1.647803049987261,0.682908590701839,1117297.7053064727
CT,6.617197482218541,0.2547416844437759,318038.97643760545
DC,1.6584247139766943,0.22003479522980957,98279.88379966767
DE,1.2484803243349167,0.4501927975723621,56752.29456840231
FL,1.2745273161952915,0.4738555024837578,1707589.3300270992
GA,14.844744732568609,0.4643347496059034,2537465.564784645
HI,1.84594499882557,0.7623763244560687,156067.6039216546
IA,0.9552691814544334,0.5385619939023761,1626125.5722654485
ID,34.20776546411291,0.08034773056172073,160753.1059210116
IL,2.120860757150413,0.4090674806898796,3400748.273850742
IN,1.6897021159186278,0.8742617055207852,559504.9158357917
KS,1.6109294888736134,0.4981391976141495,326633.00305750006
KY,5.95466604047664,0.9176122145465324,449127.55924179836
LA,1.9332684916537495,0.4196983581299873,487530.57444380043
MA,6.260923510683799,0.360750436099163,892114.176768806
MD,2.631122997379636,0.42057849013208476,537459.7704696839
ME,8.601165418604117,0.1341103573003155,104089.19137130873
MI,2.486001859384072,0.5538299815839989,796063.4696670386
MN,3.24010711696684,0.501521731009239,646090.2997185731
MO,2.0425937224174135,0.8123733879095163,557407.5391544215
MS,1.8427642093214496,0.4597558303839776,297289.4890610024
MT,29.862977162074237,0.5829657163107783,99290.34425567789
NC,9.288775312458348,0.40203361173123997,2272286.619266869
ND,18.49061203472708,0.7584249969887665,73457.96554448319
NE,4.808260845029477,0.7086859874127854,397675.04063521576
NH,4.899891277807939,0.15290731527299695,136803.26661558234
NJ,1.3751653640258703,0.25068477894846564,2405261.30848273
NM,1.6051967751931342,0.67021002386024,531045.9038380254
NV,0.9501427818603599,0.3733100970964698,2280615.515808554
NY,1.7276444845373125,0.20864323052579317,2612660.592017684
OH,1.7278795772575946,0.6648850056730836,2242224.362697035
OK,2.2540216713850816,0.4459928493975411,1594586.4595017643
OR,1.423282126257901,0.15707886127149717,2094668.1244725403
PA,2.0656901290617142,0.39318708352900844,1446424.6435792902
RI,0.7886228718953916,0.4343882369172697,74270.0546454426
SC,27.740478356337995,0.31504017789087985,1145080.6615987609
SD,0.7469375714521299,0.2599725334747371,67135.40195920046
TN,4.325806062856047,0.37135478201839345,668970.6181788929
TX,5.478673348477289,0.4918120070226179,7278392.634124623
UT,1.8399745499465687,0.8046748029938674,688879.8635876573
VA,2.4148431226713054,0.3676022202610961,9281139.387787046
VT,29.2758582047711,0.028753318079202506,57554.900331659715
WA,1.389408417972762,0.10002020603292999,3973688.1369218025
WI,3.6676507196900667,0.6981117799445773,509050.08393836394
WV,1.6970232605842444,0.9806751799912101,111034.01884243845
WY,6.642980440772053,1.0318792368399485,326568.83169765025
