id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,Map_Location
2744301,New Jersey,NJ,34,Middlesex County,23,,,Verizon,105786.0,-74.49652096447575,40.54425557630532,building,"New Jersey, Middlesex County"
7805491,Ohio,OH,39,Franklin County,49,,,Discover Financial Services New Albany,188209.0,-82.81435808641204,40.10065711344692,building,"Ohio, Franklin County"
9474864,North Carolina,NC,37,Caldwell County,27,Google,,Google Data Center,3407194.0,-81.54651452543965,35.89473769568108,campus,"North Carolina, Caldwell County"
13924557,Iowa,IA,19,Polk County,153,Microsoft,,Project Alluvion,10962475.0,-93.71171866418732,41.51595464169968,campus,"Iowa, Polk County"
14593270,North Carolina,NC,37,Catawba County,35,,,Apple - Maiden Data Center,5431080.0,-81.26180877040836,35.588771360781784,campus,"North Carolina, Catawba County"
14930068,New Mexico,NM,35,Bernalillo County,1,Sandia National Laboratories,880,HPC (880),158463.0,-106.54282203991325,35.04994198074901,building,"New Mexico, Bernalillo County"
14997588,Virginia,VA,51,Henrico County,87,Meta,,Meta Henrico Data Center,4671056.0,-77.23645509442149,37.482763284885785,campus,"Virginia, Henrico County"
15884451,New Jersey,NJ,34,Union County,39,Barclays,,Barclays Datacenter,94373.0,-74.28548116880219,40.64375303338713,building,"New Jersey, Union County"
16282459,Maryland,MD,24,Anne Arundel County,3,AiNET,,CyberNAP Glen Burnie,89879.0,-76.60643112453295,39.14024170717735,building,"Maryland, Anne Arundel County"
18518989,Alabama,AL,1,Madison County,89,Meta,,Meta Huntsville Data Center,14138187.0,-86.6284232288441,34.84412326229257,campus,"Alabama, Madison County"
25706343,Texas,TX,48,Tarrant County,439,Cyxtera,,Cyxtera Dallas-Fort Worth Data Center,309104.0,-97.04104164326888,32.83271789571454,building,"Texas, Tarrant County"
28544618,Texas,TX,48,Dallas County,113,Equinix,,Equinix Infomart,239835.0,-96.81951054637986,32.800943222986994,building,"Texas, Dallas County"
29827954,Massachusetts,MA,25,Middlesex County,17,,BO1,CoreSite BO1,133960.0,-71.07975761756323,42.37670588382176,building,"Massachusetts, Middlesex County"
30666790,California,CA,6,Los Angeles County,37,United States Postal Service,,USPO Terminal Annex,99270.0,-118.23539293645688,34.05810223824728,building,"California, Los Angeles County"
31250931,Ohio,OH,39,Warren County,165,CyrusOne,CIN3,CyrusOne Cincinnati-Mason CIN3,82813.0,-84.3115799999726,39.30389580661305,building,"Ohio, Warren County"
31800424,California,CA,6,San Diego County,73,,,LightEdge SAN1,83576.0,-117.12993394622256,32.827865524456854,building,"California, San Diego County"
32560290,California,CA,6,Sacramento County,67,NTT,CA2,RagingWire CA2,204702.0,-121.49194609960875,38.6503995314376,building,"California, Sacramento County"
32560292,California,CA,6,Sacramento County,67,NTT,CA1,RagingWire CA1,192302.0,-121.48918647250008,38.6504318340598,building,"California, Sacramento County"
34770750,Georgia,GA,13,Fulton County,121,,,Hewlett-Packard,1294301.0,-84.26744994290634,34.0822260639216,campus,"Georgia, Fulton County"
35491576,California,CA,6,Santa Clara County,85,Equinix,SV1,Equinix SV1,135022.0,-121.7833201255276,37.241586803667886,building,"California, Santa Clara County"
37947313,California,CA,6,Santa Clara County,85,,,OpenColo,65471.0,-121.95593725165452,37.37881629201175,building,"California, Santa Clara County"
37947314,California,CA,6,Santa Clara County,85,Equinix,SV2,Equinix Santa Clara SV2,81106.0,-121.95499188020412,37.37843369008015,building,"California, Santa Clara County"
37947315,California,CA,6,Santa Clara County,85,Layer42,,Layer42 Santa Clara,25031.0,-121.95415110304296,37.378039948434136,building,"California, Santa Clara County"
38305431,California,CA,6,Santa Clara County,85,Digital Realty,,Digital Realty Silicon Valley SJC34,129242.0,-121.97361948715525,37.37238819523253,building,"California, Santa Clara County"
38305568,California,CA,6,Santa Clara County,85,Centurylink,,,92193.0,-121.96969744738088,37.371519049598696,building,"California, Santa Clara County"
38305611,California,CA,6,Santa Clara County,85,Vantage,,,89293.0,-121.97269293993044,37.37338590954396,building,"California, Santa Clara County"
39083797,Georgia,GA,13,Fulton County,121,Flexential,,Flexential Atlanta - Alpharetta Data Center,74814.0,-84.25175214535511,34.08700522087238,building,"Georgia, Fulton County"
39083830,Georgia,GA,13,Fulton County,121,,,Secure Data Center,184012.0,-84.25087563127063,34.093707612260026,building,"Georgia, Fulton County"
40608200,California,CA,6,Santa Clara County,85,Cologix,SV1,Cologix Santa Clara SV1 Data Center,80686.0,-121.9617004216462,37.36533280955109,building,"California, Santa Clara County"
42323063,Missouri,MO,29,St. Louis city,510,,,Netrality Data Centers,23093.0,-90.197174834978,38.62926158352849,building,"Missouri, St. Louis city"
45776978,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD11,Amazon IAD11,122474.0,-77.54111111954948,38.790500006452135,building,"Virginia, Prince William County"
45776979,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD24,Amazon IAD24,31388.0,-77.54000633908686,38.79035015175034,building,"Virginia, Prince William County"
45776988,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD-7,Amazon IAD7,109423.0,-77.53827709301149,38.79120375196744,building,"Virginia, Prince William County"
46128119,Ohio,OH,39,Hamilton County,61,CyrusOne,CIN2,CyrusOne CIN2,29534.0,-84.51789753744694,39.102694860367215,building,"Ohio, Hamilton County"
46831933,Virginia,VA,51,Prince William County,153,Digital Realty,,VA 4,263538.0,-77.594876153305,38.77811126874212,building,"Virginia, Prince William County"
48242814,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD10,Amazon IAD10,112726.0,-77.43287558139869,39.0216455535984,building,"Virginia, Loudoun County"
48242816,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD32,Amazon IAD32,35700.0,-77.43479445422666,39.02156932429181,building,"Virginia, Loudoun County"
52059176,Oregon,OR,41,Washington County,67,NTT,,NTT RagingWire Data Center,260339.0,-122.93739288182852,45.549583992290565,building,"Oregon, Washington County"
52094269,Virginia,VA,51,Loudoun County,107,Cyxtera,IAD1-B,Cyxtera Sterling IAD1-B,79070.0,-77.41518975933123,39.02390730425034,building,"Virginia, Loudoun County"
52094270,Virginia,VA,51,Loudoun County,107,Cyxtera,IAD1-A,Cyxtera Sterling IAD1-A,89830.0,-77.41320102285829,39.02332121207586,building,"Virginia, Loudoun County"
52094294,Virginia,VA,51,Loudoun County,107,Cyxtera,IAD1-C,Cyxtera Sterling IAD1-C,135383.0,-77.41220365945968,39.02475554990803,building,"Virginia, Loudoun County"
52227492,Minnesota,MN,27,Carver County,19,Flexential,,Flexential Minneapolis - Chaska,135505.0,-93.59883127427165,44.85159287119095,building,"Minnesota, Carver County"
52958203,Colorado,CO,8,Denver County,31,,,Pearl Plaza Office Building,48787.0,-104.97933224935198,39.74523035286352,building,"Colorado, Denver County"
54173383,California,CA,6,Santa Clara County,85,CoreSite,SV3,CoreSite SV3,57809.0,-121.9717093732258,37.37514209318246,building,"California, Santa Clara County"
54173753,California,CA,6,Santa Clara County,85,CoreSite,SV6,CoreSite SV6,61065.0,-121.9720837997304,37.37630188023717,building,"California, Santa Clara County"
54173755,California,CA,6,Santa Clara County,85,CoreSite,SV8,CoreSite SV8,41609.0,-121.97184005109762,37.377382657506814,building,"California, Santa Clara County"
54383196,California,CA,6,Santa Clara County,85,CoreSite,SV5,CoreSite SV5,50856.0,-121.97068979280724,37.37519609854625,building,"California, Santa Clara County"
54383197,California,CA,6,Santa Clara County,85,CoreSite,SV9,CoreSite SV9,60403.0,-121.9696099700251,37.37555851580601,building,"California, Santa Clara County"
59294476,Virginia,VA,51,Loudoun County,107,Stack Infrastructure,NVA01A,STACK NVA01A - Northern Virginia,179330.0,-77.4417640679728,39.00469915120877,building,"Virginia, Loudoun County"
63619642,Minnesota,MN,27,Hennepin County,53,,,Minnesota Gateway Data Center,87697.0,-93.25465186805064,44.97130185223087,building,"Minnesota, Hennepin County"
69827429,New York,NY,36,Albany County,1,,,IBM Building,15355.0,-73.7527452452726,42.64935307487593,building,"New York, Albany County"
71187940,Michigan,MI,26,Wayne County,163,Verizon Wireless,DTRT.PP2,,24933.0,-83.07698605760793,42.32626638236376,building,"Michigan, Wayne County"
79056848,New Hampshire,NH,33,Strafford County,17,University of New Hampshire,,,30553.0,-70.95247263069142,43.14361852296161,building,"New Hampshire, Strafford County"
79158387,Virginia,VA,51,Fairfax County,59,Digital Realty,VA3,VA3,95304.0,-77.32728436918103,38.94844596490111,building,"Virginia, Fairfax County"
79159494,Virginia,VA,51,Fairfax County,59,Evocative,IAD1,IAD1,19325.0,-77.32940997255484,38.94881628378597,building,"Virginia, Fairfax County"
79298926,Virginia,VA,51,Fairfax County,59,,,CoreSite Reston Campus VA1,138035.0,-77.36454759512178,38.95058588448764,building,"Virginia, Fairfax County"
79818498,Virginia,VA,51,Fairfax County,59,CoreSite,,CoreSite Reston VA3,249707.0,-77.37236980053557,38.94846756695564,building,"Virginia, Fairfax County"
89784186,Colorado,CO,8,Denver County,31,,,Insurance Exchange Building,19807.0,-104.9956910745452,39.74557178496544,building,"Colorado, Denver County"
93210344,Maryland,MD,24,Montgomery County,31,Lincoln Rackhouse,,Lincoln Rackhouse Maryland,146301.0,-76.9643217094945,39.05856287562289,building,"Maryland, Montgomery County"
95349317,Ohio,OH,39,Warren County,165,,,CyrusOne Cincinnati-Lebanon,198403.0,-84.22187533686325,39.389018744445785,building,"Ohio, Warren County"
95782052,New Jersey,NJ,34,Hudson County,17,Equinix,NY7,Equinix NY7 Data Center,68650.0,-74.03114084308724,40.79686366512242,building,"New Jersey, Hudson County"
99813512,California,CA,6,Santa Clara County,85,Equinix,SV4,Equinix SV4,122369.0,-122.01457953832228,37.41456431406775,building,"California, Santa Clara County"
104082694,Iowa,IA,19,Polk County,153,,,Aureon,11253.0,-93.63100934776038,41.58799896569892,building,"Iowa, Polk County"
109458128,New York,NY,36,New York County,61,Sabey Data Centers,,Intergate Manhattan,31710.0,-74.0012044311589,40.710888705073685,building,"New York, New York County"
122665255,Connecticut,CT,9,Greater Bridgeport Planning Region,120,Digital Realty,HVN10,Digital Realty New York HVN10,134982.0,-73.14729941546841,41.24084597137587,building,"Connecticut, Greater Bridgeport Planning Region"
124088810,Illinois,IL,17,DuPage County,43,,,Lincoln Rackhouse,70123.0,-88.21709086831734,41.77216480463178,building,"Illinois, DuPage County"
128499684,Illinois,IL,17,Cook County,31,Digital Realty,CH1,Digital Realty CH1,469756.0,-87.96217216116061,41.9942374288397,building,"Illinois, Cook County"
131891022,Arizona,AZ,4,Maricopa County,13,,,Iron Mountain Records Storage,145832.0,-112.04132578020344,33.42038002636909,building,"Arizona, Maricopa County"
132746406,California,CA,6,Santa Clara County,85,Equinix,SV8,Equinix SV8,12601.0,-122.16077646434915,37.445896948246855,building,"California, Santa Clara County"
