ogc_fid,m_per_year,aquifer,broader
1,-0.00818654,Milk River,-
2,-0.01113134,Paskapoo-S,-
47,0.03800469,Espanola B,Middle Rio
54,0.39844125,Estancia B,-
55,0.06270143,Southern S,-
3,0.20023313,North-cent,High Plain
56,0.08839167,Upper Desc,-
4,0.09144,South-cent,High Plain
5,0.0136398,Equus Beds,High Plain
57,-4.0341E-4,Lahontan V,-
113,-0.00282854,Grand Fork,-
6,0.05195455,Great Bend,High Plain
7,0.003556,Northern H,High Plain
8,0.45347444,Central Hi,High Plain
58,-0.00423333,Lolo-Bitte,Lolo-Bitte
1386,-0.05634975,Dakota Aqu,-
9,0.14340103,Southern H,High Plain
10,0.71833086,Confined C,Mississipp
114,0.062875,Osoyoos Aq,Okanagan B
11,-0.05134708,Eastern Mi,Mississipp
12,0.01132114,Central Mi,Mississipp
13,-0.06594818,Western Mi,Mississipp
14,0.00423333,Eastern Ca,Carrizo-Wi
15,0.054339,Central Ca,Carrizo-Wi
16,0.16681786,Western Ca,Carrizo-Wi
17,0.0148075,Denver Bas,-
18,-0.17579125,West Salt,Salt Basin
19,-0.77506286,East Salt,Salt Basin
20,0.07316,Maricopa-S,-
21,-0.00531091,Avra Valle,Tucson Bas
22,-0.32423125,Upper Sant,Tucson Bas
48,0.0405384,San Luis V,Middle Rio
49,0.18702,Roswell Ba,-
23,0.00982133,San Pedro,-
50,0.18525646,Valle de J,Tularosa-H
115,-0.04600583,Oliver Sub,Okanagan B
24,0.34175667,Willcox-Do,-
25,0.044196,Yuma Basin,-
230,-0.249682,Gonzales-N,Gulf Coast
231,0.06673838,Mississipp,Gulf Coast
26,-0.0626364,Ozark Plat,-
27,0.04662412,Salinas Va,-
28,0.011049,Coachella,-
29,-0.017145,Williston,Northern G
51,0.13390867,Tularosa B,Tularosa-H
30,-0.00624107,Powder Riv,Northern G
31,-0.08319235,Black Hill,-
32,-0.05947833,Southern W,Willamette
33,-0.1999615,Central Wi,Willamette
34,-0.020218,Tualatin a,Willamette
35,0.0104267,Palouse Ba,Columbia P
36,0.005325,Yakima Bas,Columbia P
37,0.00101667,Odessa Sub,Columbia P
38,0.01328795,Quincy Sub,Columbia P
39,0.05435556,Northern C,Columbia P
52,0.1037844,Mesilla Va,Rincon-Mes
40,-0.09594817,Spokane Va,Columbia P
41,-0.13201625,Little Spo,Columbia P
42,0.02556438,Blue Mount,Columbia P
53,0.03605934,Rincon Val,Rincon-Mes
43,-0.00544286,Palouse Sl,Columbia P
44,0.07926737,Walla Wall,Columbia P
45,-0.01984751,Umatilla B,Columbia P
46,-0.02489167,Albuquerqu,Middle Rio
59,0.05356316,Mission Va,Flathead V
60,0.11049,Little Bit,Flathead V
116,0.02329171,Okanagan L,Okanagan B
61,0.09970393,Santa Mari,-
62,0.08175157,Lower Sant,Santa Ynez
63,0.24735692,Upper Sant,Santa Ynez
117,-0.02101367,Winfield-W,Okanagan B
118,0.09991665,North Okan,Okanagan B
64,1.4495125,Cuyama Val,-
65,0.44415892,San Antoni,-
66,0.04555947,Beaver Val,-
67,0.53505111,Parowan Va,-
68,0.42242187,Cedar Vall,-
69,0.42225679,Pahvant Va,-
70,0.05551714,Central Se,-
71,0.06787236,Sanpete Va,-
72,0.34458729,Juab Valle,-
73,0.27416019,Milford-Bl,Escalante
74,0.47537893,Beryl-Ente,Escalante
75,0.04193136,Lund Subar,Escalante
76,0.03482788,Rush Valle,-
77,0.18407185,Toole Vall,-
78,0.43470101,Goshen Val,-
119,0.29064857,Southern T,Upper Klam
79,0.03831786,Southern U,-
80,0.05701588,Cedar Vall,-
81,0.16775845,Sevier Des,-
82,0.013208,Ashley Val,Uinta Basi
120,0.08382,Northern T,Upper Klam
121,0.0675131,Lower Klam,Upper Klam
83,-8.3127E-4,Roosevelt,Uinta Basi
122,0.011125,Klamath Ri,Upper Klam
123,0.11087083,Klamath Va,Upper Klam
124,0.02885179,Upper Lost,Upper Klam
84,0.03440424,Western Ui,Uinta Basi
85,0.02658955,Spring Val,-
86,0.07413824,Snake Vall,-
87,0.0236855,Deep Creek,-
88,0.03056467,Lake Valle,-
89,0.034823,Hamlin Val,-
90,-0.00732,Dry Lake V,-
91,-0.0260985,White Rive,-
92,0.04285697,Steptoe Va,-
93,0.19383561,Railroad V,-
94,0.02015556,Coyote Spr,-
125,0.21020995,Butte Vall,Upper Klam
129,0.0079248,Scott Vall,-
95,-0.3062475,Las Vegas,-
96,0.006985,Amargosa D,-
97,0.11125167,Pahrump Va,-
98,-0.01634788,Indian Spr,-
99,-0.0264795,Three Lake,-
100,0.02612571,Churchill,Carson Riv
101,-0.0142875,Dayton Val,Carson Riv
102,0.03665764,Carson Val,Carson Riv
103,-0.02524125,Eagle Vall,Carson Riv
104,-0.02417188,Abbotsford,Puget Soun
105,-0.0528574,South Soun,Puget Soun
126,0.02687053,Sprague Ba,Upper Klam
106,0.021336,Main Basin,Puget Soun
127,0.01289957,Swan Lake,Upper Klam
128,0.02012084,Shasta Val,-
107,-0.00528823,Lower Fras,Puget Soun
108,-0.07065742,Big Chino,-
109,0.51162857,Little Chi,-
110,0.13150472,Lonesome a,-
111,-0.00364471,Santa Rosa,-
112,-0.0383661,Big Bear V,-
130,-0.00651329,Eureka and,-
131,0.0413385,Goleta Bas,-
132,0.05385699,Santa Barb,-
133,0.057912,Montecito,-
134,0.02794,Carpinteri,-
540,1.04618056,Boqueron A,-
135,0.0719334,Santa Clar,-
136,0.06651413,Antelope V,-
137,0.04463304,Mojave Bas,-
138,-0.07077808,San Jacint,-
139,0.02177143,Tijuana-Sa,-
140,0.064009,Smith Vall,-
141,0.06504214,Mason Vall,-
142,0.01021,Lower Walk,-
143,0.078105,Sierra Val,-
144,0.01524,Honey Lake,-
145,-0.055372,Spanish Sp,-
146,0.264871,Grass Vall,-
147,-0.1602232,Buena Vist,-
148,0.0673825,Crescent V,-
149,0.05584825,Diamond Va,-
150,0.11363476,Paradise V,-
151,-0.02010903,Desert Val,-
152,0.41288942,Quinn Rive,-
153,-0.036576,Upper Humb,-
154,0.003048,Ruby Valle,-
155,-0.08959003,Kootenai V,-
156,-0.1193295,Pend Oriel,-
157,0.131445,Pend Oriel,-
158,2.17403667,Mill Creek,-
159,0.02032,Long Valle,-
160,-1.78E-4,Weiser Riv,-
161,0.00762,Payette Va,-
162,0.020385,Scott Vall,-
541,0.86110795,Sinclinal,-
163,0.0316229,Boise Vall,Western Sn
542,0.66491071,Pino and C,-
543,1.60069231,Cingla-Cuc,-
164,0.3754,Mountain H,Western Sn
544,1.684375,Jumilla-Vi,-
545,0.42739286,Western Qu,-
165,-0.031394,Bruneau-Gr,Western Sn
546,2.95109821,Ascoy-Sopl,-
547,0.38427083,Villena-Be,-
166,0.17340155,Central Pl,Central Sn
167,0.02678616,Twin Falls,Central Sn
168,-0.06832592,Marsh Vall,Central Sn
169,0.09931307,Goose Cree,Central Sn
170,0.32620455,Raft River,Central Sn
171,0.02904932,Marsh Cree,Eastern Sn
172,0.02078371,Arbon Vall,Eastern Sn
173,0.00359684,Rockland V,Eastern Sn
174,0.09241865,Eastern Pl,Eastern Sn
175,0.08032722,Little Los,Eastern Sn
176,0.02024714,Big Lost R,Eastern Sn
177,0.15605679,Mud Lake,Eastern Sn
178,0.06196682,Volcanic R,Eastern Sn
179,0.11762658,Teton Vall,-
180,-0.00618417,Camas Prai,-
181,0.015494,Wood River,-
182,-0.034798,Sawtooth V,-
183,0.01896533,Pahsimeroi,-
184,-0.3282696,Round Vall,-
185,0.0318135,Upper Salm,-
186,0.0439674,Lemhi Vall,-
187,-0.00914333,Garden Val,-
188,-0.0124206,Napa Valle,-
189,0.01143,Santa Clar,-
190,0.02974686,Surprise V,-
191,0.02819417,Salt Lake,-
192,0.213487,Utah Lake,-
193,-0.00228608,Ogden Vall,-
194,0.0586775,East Shore,-
195,0.02302933,Bear River,-
196,0.003048,Cache Vall,-
197,-0.01784587,Malad Vall,-
198,-0.026289,Bear Lake,-
199,-0.06027083,Gem Valley,-
200,0.05546615,Curlew Val,-
201,-0.00941908,Heber Vall,-
202,-0.026822,Mimbres Ba,-
203,0.159144,Uvas Valle,-
204,0.0151535,Wet Mounta,-
205,-6.604E-4,Upper Arka,-
206,-0.005461,Uncompahgr,-
207,-0.1038606,Blue River,-
208,-0.0237744,South Plat,-
209,0.0,Lower Arka,-
210,0.00948267,Lower Arka,-
211,0.01659467,Fountain C,-
548,0.72475,Orcheta Re,-
212,0.00905921,Wind River,Wind River
213,0.10898757,Jackson Ho,-
214,-0.0340609,Laramie Ba,-
215,0.01524,Bighorn Ba,-
549,0.13983333,Cuchillos-,-
216,0.0105664,Middle Yel,-
217,0.0035052,Gallatin V,-
218,-0.01327142,Helena Val,-
219,0.01174767,Upper Beav,-
220,-0.010402,Madison Aq,-
221,0.36677611,Gila Valle,-
550,-0.58464286,Sinclinal,-
222,0.130454,San Simon,-
551,-0.17980249,Campo de D,-
