Table 4,Spatial join of subbasins with the PCAs,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Subbasin,HUC8,Subbasin Area (m2),HUC8 ID,PCA Name
Upper St. John,01010001,17222890136.6,1010001,ISO New England Inc.
Upper St. John,01010001,17222890136.6,1010001,New Brunswick System Operator
Allagash,01010002,3198097222.04,1010002,ISO New England Inc.
Allagash,01010002,3198097222.04,1010002,New Brunswick System Operator
Fish,01010003,2304014818.42,1010003,ISO New England Inc.
Fish,01010003,2304014818.42,1010003,New Brunswick System Operator
Aroostook,01010004,6324223755.5,1010004,ISO New England Inc.
Aroostook,01010004,6324223755.5,1010004,New Brunswick System Operator
Meduxnekeag,01010005,1936076711.9,1010005,ISO New England Inc.
Meduxnekeag,01010005,1936076711.9,1010005,New Brunswick System Operator
West Branch Penobscot,01020001,5520935487.97,1020001,ISO New England Inc.
East Branch Penobscot,01020002,2899615880.24,1020002,ISO New England Inc.
Mattawamkeag,01020003,3911366037.77,1020003,ISO New England Inc.
Mattawamkeag,01020003,3911366037.77,1020003,New Brunswick System Operator
Piscataquis,01020004,3784873612.39,1020004,ISO New England Inc.
Lower Penobscot,01020005,6202366353.66,1020005,ISO New England Inc.
Upper Kennebec,01030001,4109383298.96,1030001,ISO New England Inc.
Dead,01030002,2270360302.52,1030002,ISO New England Inc.
Lower Kennebec,01030003,8885465253.61,1030003,ISO New England Inc.
Upper Androscoggin,01040001,3549929487.44,1040001,ISO New England Inc.
Lower Androscoggin,01040002,5584844092.1,1040002,ISO New England Inc.
St. Croix,01050001,4261284753.83,1050001,ISO New England Inc.
St. Croix,01050001,4261284753.83,1050001,New Brunswick System Operator
Maine Coastal,01050002,13760290256.3,1050002,ISO New England Inc.
St. George-Sheepscot,01050003,3541389759.34,1050003,ISO New England Inc.
Presumpscot,01060001,3687466139.62,1060001,ISO New England Inc.
Saco,01060002,4405658885.19,1060002,ISO New England Inc.
Piscataqua-Salmon Falls,01060003,4361702644.96,1060003,ISO New England Inc.
Pemigewasset,01070001,2649280496.42,1070001,ISO New England Inc.
Merrimack,01070002,1258831686.71,1070002,ISO New England Inc.
Contoocook,01070003,1980092605.59,1070003,ISO New England Inc.
Nashua,01070004,1377639517.31,1070004,ISO New England Inc.
Concord,01070005,1036702417.52,1070005,ISO New England Inc.
Merrimack River,01070006,4664426124.15,1070006,ISO New England Inc.
Upper Connecticut,01080101,3631245577.39,1080101,ISO New England Inc.
Passumpsic,01080102,1315777373.02,1080102,ISO New England Inc.
Waits,01080103,2392551174.35,1080103,ISO New England Inc.
Upper Connecticut-Mascoma,01080104,1339361158.23,1080104,ISO New England Inc.
White,01080105,1843735874.96,1080105,ISO New England Inc.
Black-Ottauquechee,01080106,3422878138.66,1080106,ISO New England Inc.
West,01080107,2198562340.57,1080107,ISO New England Inc.
Middle Connecticut,01080201,2636938609.99,1080201,ISO New England Inc.
Miller,01080202,1007913031.03,1080202,ISO New England Inc.
Deerfield,01080203,1718228966.99,1080203,ISO New England Inc.
Chicopee,01080204,1871872046.58,1080204,ISO New England Inc.
Lower Connecticut,01080205,2809279002.73,1080205,ISO New England Inc.
Westfield,01080206,1343557033.42,1080206,ISO New England Inc.
Farmington,01080207,1571449805.28,1080207,ISO New England Inc.
Charles,01090001,2623762015.37,1090001,ISO New England Inc.
Cape Cod,01090002,3118335980.4,1090002,ISO New England Inc.
Blackstone,01090003,1228673900.52,1090003,ISO New England Inc.
Narragansett,01090004,3571464446.98,1090004,ISO New England Inc.
Pawcatuck-Wood,01090005,955565849.751,1090005,ISO New England Inc.
Quinebaug,01100001,1913205934.05,1100001,ISO New England Inc.
Shetucket,01100002,1362979926.98,1100002,ISO New England Inc.
Thames,01100003,955502285.87,1100003,ISO New England Inc.
Quinnipiac,01100004,1326991202.8,1100004,ISO New England Inc.
Housatonic,01100005,5050355690.52,1100005,ISO New England Inc.
Saugatuck,01100006,1163928390.67,1100006,ISO New England Inc.
St. Francois,01110000,1920366420.09,1110000,ISO New England Inc.
Lake George,02010001,1780459678.73,2010001,New York Independent System Operator
Otter,02010002,2442782710.93,2010002,ISO New England Inc.
Winooski,02010003,2753753245.53,2010003,ISO New England Inc.
Ausable,02010004,1333546113.27,2010004,New York Independent System Operator
Lamoille,02010005,1868162755.05,2010005,ISO New England Inc.
Great Chazy-Saranac,02010006,1588253105.52,2010006,New York Independent System Operator
Missiquoi,02010007,1906418734.46,2010007,ISO New England Inc.
Lake Champlain,02010008,7338397967.88,2010008,New York Independent System Operator
Upper Hudson,02020001,4309337210.56,2020001,New York Independent System Operator
Sacandaga,02020002,2731301851.38,2020002,New York Independent System Operator
Hudson-Hoosic,02020003,4936175364.67,2020003,New York Independent System Operator
Mohawk,02020004,6607191545.69,2020004,New York Independent System Operator
Schoharie,02020005,2403261194.49,2020005,New York Independent System Operator
Middle Hudson,02020006,6291533554.95,2020006,New York Independent System Operator
Rondout,02020007,3077758772.07,2020007,New York Independent System Operator
Hudson-Wappinger,02020008,2448210626.84,2020008,New York Independent System Operator
Lower Hudson,02030101,1941384201.95,2030101,New York Independent System Operator
Bronx,02030102,487618616.631,2030102,New York Independent System Operator
Hackensack-Passaic,02030103,2936738903.4,2030103,"PJM Interconnection, LLC"
,,,2030104,
Raritan,02030105,2863001787.35,2030105,"PJM Interconnection, LLC"
Northern Long Island,02030201,750510623.409,2030201,ISO New England Inc.
Northern Long Island,02030201,750510623.409,2030201,New York Independent System Operator
Southern Long Island,02030202,5301908562.16,2030202,ISO New England Inc.
Southern Long Island,02030202,5301908562.16,2030202,New York Independent System Operator
,,,2030203,
Upper Delaware,02040101,3083435590.4,2040101,New York Independent System Operator
East Branch Delaware,02040102,2176617765.96,2040102,New York Independent System Operator
Lackawaxen,02040103,1548682029.91,2040103,"PJM Interconnection, LLC"
Middle Delaware-Mongaup-Brodhead,02040104,3962018119.83,2040104,"PJM Interconnection, LLC"
Middle Delaware-Mongaup-Brodhead,02040104,3962018119.83,2040104,New York Independent System Operator
Middle Delaware-Musconetcong,02040105,3520745985.47,2040105,"PJM Interconnection, LLC"
Lehigh,02040106,3526732725.61,2040106,"PJM Interconnection, LLC"
Crosswicks-Neshaminy,02040201,1408288006.24,2040201,"PJM Interconnection, LLC"
Lower Delaware,02040202,2981822499.05,2040202,"PJM Interconnection, LLC"
Schuylkill,02040203,4952290568.11,2040203,"PJM Interconnection, LLC"
,,,2040204,
Brandywine-Christina,02040205,1957460174.04,2040205,"PJM Interconnection, LLC"
Cohansey-Maurice,02040206,3094168039.74,2040206,"PJM Interconnection, LLC"
Broadkill-Smyrna,02040207,1966717369.23,2040207,"PJM Interconnection, LLC"
Mullica-Toms,02040301,4460643597.62,2040301,"PJM Interconnection, LLC"
Great Egg Harbor,02040302,2234685030.57,2040302,"PJM Interconnection, LLC"
Chincoteague,02040303,2688777425.14,2040303,"PJM Interconnection, LLC"
,,,2040304,
Upper Susquehanna,02050101,5927484355.4,2050101,New York Independent System Operator
Chenango,02050102,4162801140.55,2050102,New York Independent System Operator
Owego-Wappasening,02050103,2705785276.64,2050103,New York Independent System Operator
Tioga,02050104,3585130037.06,2050104,New York Independent System Operator
Chemung,02050105,3138465084.98,2050105,New York Independent System Operator
Upper Susquehanna-Tunkhannock,02050106,5191429783.99,2050106,"PJM Interconnection, LLC"
Upper Susquehanna-Lackawanna,02050107,4572750528.11,2050107,"PJM Interconnection, LLC"
Upper West Branch Susquehanna,02050201,4136005237.33,2050201,"PJM Interconnection, LLC"
Sinnemahoning,02050202,2677956590.84,2050202,"PJM Interconnection, LLC"
Middle West Branch Susquehanna,02050203,2031224649.9,2050203,"PJM Interconnection, LLC"
Bald Eagle,02050204,2002698459.58,2050204,"PJM Interconnection, LLC"
Pine,02050205,2539975096.74,2050205,"PJM Interconnection, LLC"
Lower West Branch Susquehanna,02050206,4686951355,2050206,"PJM Interconnection, LLC"
Lower Susquehanna-Penns,02050301,3750659463.5,2050301,"PJM Interconnection, LLC"
Upper Juniata,02050302,2566366906.69,2050302,"PJM Interconnection, LLC"
Raystown,02050303,2492090233.14,2050303,"PJM Interconnection, LLC"
Lower Juniata,02050304,3756683995.91,2050304,"PJM Interconnection, LLC"
Lower Susquehanna-Swatara,02050305,4860524176.19,2050305,"PJM Interconnection, LLC"
Lower Susquehanna,02050306,6438155069.83,2050306,"PJM Interconnection, LLC"
Upper Chesapeake Bay,02060001,1962723877.3,2060001,"PJM Interconnection, LLC"
Chester-Sassafras,02060002,3372799571,2060002,"PJM Interconnection, LLC"
Gunpowder-Patapsco,02060003,3671317837.41,2060003,"PJM Interconnection, LLC"
Severn,02060004,954928909.42,2060004,"PJM Interconnection, LLC"
Choptank,02060005,2844434648.16,2060005,"PJM Interconnection, LLC"
Patuxent,02060006,2401095729.74,2060006,"PJM Interconnection, LLC"
South Branch Potomac,02070001,3832791996.07,2070001,"PJM Interconnection, LLC"
North Branch Potomac,02070002,3478643914.81,2070002,"PJM Interconnection, LLC"
Cacapon-Town,02070003,3120246576.52,2070003,"PJM Interconnection, LLC"
Conococheague-Opequon,02070004,5897881945.56,2070004,"PJM Interconnection, LLC"
South Fork Shenandoah,02070005,4330248300.24,2070005,"PJM Interconnection, LLC"
North Fork Shenandoah,02070006,2677701436.67,2070006,"PJM Interconnection, LLC"
Shenandoah,02070007,911248332.147,2070007,"PJM Interconnection, LLC"
Middle Potomac-Catoctin,02070008,3206860170.41,2070008,"PJM Interconnection, LLC"
Monocacy,02070009,2511001295.12,2070009,"PJM Interconnection, LLC"
Middle Potomac-Anacostia-Occoquan,02070010,3374298079.67,2070010,"PJM Interconnection, LLC"
Lower Potomac,02070011,4677377480.02,2070011,"PJM Interconnection, LLC"
,,,2080101,
Great Wicomico-Plankatank,02080102,1738815352.47,2080102,"PJM Interconnection, LLC"
Rapidan-Upper Rappahannock,02080103,4032085821.13,2080103,"PJM Interconnection, LLC"
Lower Rappahannock,02080104,2993911253.53,2080104,"PJM Interconnection, LLC"
Mattaponi,02080105,2359394629.52,2080105,"PJM Interconnection, LLC"
Pamunkey,02080106,3812185369.37,2080106,"PJM Interconnection, LLC"
,,,2080107,
,,,2080108,
Western Lower Delmarva,02080109,2142432711.35,2080109,"PJM Interconnection, LLC"
Eastern Lower Delmarva,02080110,2515300016.43,2080110,"PJM Interconnection, LLC"
,,,2080111,
Upper James,02080201,5728114577.22,2080201,"PJM Interconnection, LLC"
Maury,02080202,2170813508.39,2080202,"PJM Interconnection, LLC"
Middle James-Buffalo,02080203,5240267659.73,2080203,"PJM Interconnection, LLC"
Rivanna,02080204,1989412908.08,2080204,"PJM Interconnection, LLC"
Middle James-Willis,02080205,2447296765.64,2080205,"PJM Interconnection, LLC"
Lower James,02080206,3733157263.51,2080206,"PJM Interconnection, LLC"
Appomattox,02080207,4170672170.16,2080207,"PJM Interconnection, LLC"
